feature,importance
smiles_length,678
log10_aso_concentration_nm,640
smiles_ring_count_approx,281
rc_internal_match_score,264
log10_density_cells_per_well,181
treatment_period_hours,176
purine_fraction,163
max_homopolymer_run,150
GC_fraction,123
count_d,108
count_M,106
G_fraction,106
A_count,104
T_count,102
C_fraction,95
A_fraction,89
fraction_M,87
max_gc_stretch,87
C_count,86
T_fraction,77
di_AC_freq,74
di_GT_freq,73
di_TC_freq,72
n_chemistry_transitions,72
G_count,68
self_complementarity_score,67
Tm_wallace,66
primer_HTS90,65
di_AG_freq,65
di_CT_freq,64
di_TT_freq,64
di_AT_freq,63
di_CA_freq,62
tri_TCA,62
five_prime_base_C,58
five_prime_base_T,57
fraction_d,52
di_AG,51
di_TT,51
palindrome_score,50
tri_ATT,49
di_TG_freq,49
di_AC,49
di_CA,48
di_TG,47
first_3nt_GCT,45
tri_TGC,43
di_TA_freq,43
di_GT,43
tri_ATG,42
cell_SH-SY5Y,41
tri_TTT,41
tri_AGG,41
tri_ATC,40
tri_ACA,40
cell_HepG2,40
di_GA_freq,39
tri_GCT,39
di_AT,39
three_prime_base_A,39
di_AA_freq,38
first_2nt_GC,37
di_GC_freq,37
di_TA,37
tri_GGG,36
tri_CTG,36
tri_AAT,35
pyrimidine_fraction,34
di_GG,34
tri_AGA,33
tri_AAG,32
tri_CCA,32
left_modified_wing_length,31
tri_AGT,31
contains_PO,31
tri_TAT,31
di_GG_freq,31
di_GA,31
tri_GAC,29
terminal_gc_clamp,29
di_GC,28
first_3nt_GTT,28
di_CC,28
first_3nt_TTC,28
count_C,27
predicted_PO_count,27
first_2nt_AT,27
Tm_gc_adjusted,27
tri_TTA,27
di_CC_freq,27
symmetry_flag,26
tri_CCC,26
last_3nt_ATT,26
tri_GGA,25
tri_CAC,25
tri_CAG,25
di_CT,25
first_2nt_TA,24
fraction_C,24
first_2nt_CC,23
tri_TAA,23
tri_GGT,23
di_AA,23
tri_CAT,23
three_prime_base_T,22
tri_TCT,22
tri_GTT,22
first_2nt_GG,22
tri_CTA,22
di_CG,22
cell_A431,22
di_TC,22
tri_ATA,21
tri_CAA,21
last_3nt_GTT,21
last_2nt_CA,21
tri_GAA,21
tri_GCA,20
tri_TTC,20
gapmer_4-8-5,20
AT_fraction,19
first_3nt_AAT,19
tri_TTG,19
last_2nt_AG,19
di_CG_freq,19
first_2nt_CG,18
first_2nt_TT,18
tri_CGG,18
last_2nt_CT,17
five_prime_base_A,17
three_prime_base_C,16
first_3nt_CAG,16
last_2nt_GA,16
first_3nt_AGT,16
last_3nt_GGG,15
last_3nt_CAA,15
tri_TGG,15
last_3nt_CAG,15
tri_ACT,15
tri_CGC,15
last_3nt_GGA,15
five_prime_base_G,15
first_2nt_AG,15
last_2nt_CC,14
first_3nt_GTC,14
primer_RTS3898,14
last_3nt_CAC,14
predicted_PS_count,14
predicted_PS_fraction,14
tri_CTC,13
tri_GCC,13
three_prime_base_G,13
tri_GAT,12
tri_TAC,12
tri_CTT,12
tri_AGC,12
first_3nt_CTT,11
first_3nt_CAT,11
tri_ACC,11
first_2nt_AC,11
tri_AAA,10
first_3nt_TTT,10
central_deoxy_gap_length,10
tri_GCG,10
tri_TCG,10
first_2nt_CT,10
first_2nt_AA,9
last_3nt_GAT,9
tri_TGA,9
last_3nt_AAT,9
last_3nt_ACA,9
tri_GGC,9
last_2nt_TT,9
last_3nt_AGG,9
n_position_indices,9
tri_GTC,8
last_2nt_AA,8
last_3nt_TAT,8
first_2nt_TG,8
first_2nt_GA,7
tri_CGT,7
last_2nt_GG,7
tri_CCT,6
tri_TCC,6
tri_TAG,6
last_3nt_TTT,5
last_3nt_GCA,5
seq_length,5
last_3nt_TCA,5
tri_TGT,5
linkage_type_count,5
predicted_PO_fraction,4
first_2nt_TC,4
first_3nt_CCG,4
last_2nt_GT,3
first_2nt_GT,3
last_2nt_GC,3
tri_GAG,3
tri_GTG,3
tri_AAC,3
last_3nt_CTG,3
tri_CGA,3
transfection_electroporation,3
transfection_free_uptake,3
last_3nt_AGT,2
last_2nt_AC,2
first_3nt_ACA,2
first_3nt_TTA,2
first_3nt_GCA,2
tri_ACG,2
tri_CCG,2
last_2nt_AT,2
first_2nt_CA,2
CpG_count,1
last_2nt_TA,1
first_3nt_ATG,1
last_2nt_TC,1
right_modified_wing_length,1
gapmer_4-8-4,1
first_3nt_CCC,1
gapmer_5-8-5,1
gapmer_5-10-5,1
first_3nt_AGG,0
first_3nt_ACG,0
last_3nt_ACC,0
first_3nt_ACC,0
last_3nt_AAG,0
last_3nt_AAA,0
first_3nt_AAC,0
last_3nt_AAC,0
first_3nt_AAG,0
last_2nt_TG,0
